Utterance Set,is_set,visId,dataset
Cylinders average mpg,n,bar,Cars
Which cylinder cars have the highest fuel economy?,n,bar,Cars
plot average worldwide growth over major genre,n,bar,Movies
show me bars | show me major genre | show me average of worldwide gross,y,bar,Movies
Column Chart of AVG (Profit) vs alphabetical order State,n,bar,Superstore
"Column chart, Average of profit by state",n,bar,Superstore
average profit by state,n,bar,Superstore
Average Worldwide Gross by Major Genre,n,bar,Movies
"make a simple, vertical bar chart of the average of Worldwide sales as a function of the Major Genre.  | Alphabetize the Major Genre, use the color Blue for the bars and extend the grids to the labels only outside the chart.   | Make horizontal gridlines for the Average.",y,bar,Movies
show me how the number of cylinders is related to miles per gallon,n,bar,Cars
Show average worldwide gross by genre. ,n,bar,Movies
Please show me a bar chart with the x-axis representing the number of cylinders and the y-axis depicting the average MPG.,n,bar,Cars
bar chart of average mpg by cylinders,n,bar,Cars
vertical bar chart of average mpg by cylinders,n,bar,Cars
How much is the average of profit of each state?,n,bar,Superstore
How do the company earn in each state?,n,bar,Superstore
Plot the average worldwide gross for each major genre. Sort alphabetically.,n,bar,Movies
What major genre had the highest average worldwide gross?,n,bar,Movies
What major genre had the lowest average worldwide gross?,n,bar,Movies
How much did average worldwide gross vary by major genre?,n,bar,Movies
What's the mileage for cars based on the number of cylinders present?,n,bar,Cars
Does higher cylinder count mean mean lower mileage?,n,bar,Cars
How does mileage relate to cylinder count?,n,bar,Cars
What is the average profit for each state?,n,bar,Superstore
Create a bar chart showing average profit by state,n,bar,Superstore
Create bar chart based on state and AVG(Profit),n,bar,Superstore
Show me a bar graph of the average profit per state,n,bar,Superstore
bar chart for mpg v/s cylinders,n,bar,Cars
what is the average MPG for different cylinders,n,bar,Cars
Bar graph to show number of cylinders on X Axis and Average MPG on Y Axis,n,bar,Cars
Plot average MPG by number of cylinders,n,bar,Cars
"Bar chart, x axis cylinders, y axis mean MPG",n,bar,Cars
Bar chart of average worldwide gross by major genre,n,bar,Movies
plot cylinders by average mpg,n,bar,Cars
"make a bar chart of avgerage profit by state, with state on x axis.",n,bar,Superstore
show mpg for each cylinder type,n,bar,Cars
how mpg varies for different cylinder type,n,bar,Cars
show me worldwide gross averaged by major genres,n,bar,Movies
show the average profit by state,n,bar,Superstore
Which genre movie makes most worldwide gross,n,bar,Movies
show me average Miles Per Gallaon by cylinders in a bar chart,n,bar,Cars
What are the profits across different states?,n,bar,Superstore
what is the worldwide gross distribution per genre,n,bar,Movies
Plot average mpg against cyliners,n,bar,Cars
Show average mgp for each type of cylinder,n,bar,Cars
Plot the average of MPG vs Cylinders,n,bar,Cars
Plot AVG(MPG) vs Cylinders,n,bar,Cars
gross across genres,n,bar,Movies
Show me the average profit by state where the order was placed,n,bar,Superstore
Profit by State,n,bar,Superstore
cylinders by acceleration ,n,bar,Cars
Average ww gross by genre,n,bar,Movies
"On average, how much was earned by movies of each genre?",n,bar,Movies
What is the average profit of each state,n,bar,Superstore
Group by Cylinders | Plot Cylinders by AVG MPG,y,bar,Cars
bar chart of AVG worldwide gross for movies in each genre,n,bar,Movies
What was the average worldwide gross of movies by genre?,n,bar,Movies
The average profit of orders by each state | Bar chart,y,bar,Superstore
"groupby(state) | for each state, get average of profit",y,bar,Superstore
"For each state, draw a bar that has its average profit as the height",n,bar,Superstore
Create column graph of worldwide gross by major genre for all movies,n,bar,Movies
Show Avg(Profit) by state asc,n,bar,Superstore
Show Avg(Profit) by state asc render best,n,bar,Superstore
Average MPG based on cylinders,n,bar,Cars
How much did major genres gross in total,n,bar,Movies
Show cylinfers and AVG(MPG) in a bar chart,n,bar,Cars
Show me Average MPG per Cylinders,n,bar,Cars
create a bar chart showing the average MPG grouped by cylinders,n,bar,Cars
Show me the average profit by state,n,bar,Superstore
average worldwide gross by major genre,n,bar,Movies
avg ww gross by genre,n,bar,Movies
Gross versus major genre,n,bar,Movies
Gross versus genre,n,bar,Movies
Bar chart scale -10000-50000 average profit vs. state all orders,n,bar,Superstore
Compare AVG (MPG) with Cylinders,n,bar,Cars
Bar chart of cylinders versus average mpg,n,bar,Cars
Average Worldwide Gross by Major Genre,n,bar,Movies
Average MPG by cylinders,n,bar,Cars
show me the average gross revenue of for each genrea,n,bar,Movies
show me a bar plot where the x axis is movie genre and the y axis is average worldwide revenue,n,bar,Movies
Show the average profit by state,n,bar,Superstore
Bar Graph AVG(Profit) by State,n,bar,Superstore
chart average MPG to cylinders,n,bar,Cars
What is the average MPG for cars with different cylinders?,n,bar,Cars
How does MPG vary by the number of cylinders in a car?,n,bar,Cars
Average MPG by cylinders histogram,n,bar,Cars
show me average budget split by content rating colored by creative type,n,groupedBar,Movies
Which countries have the highest acceleration for cars of different cylinders? ,n,groupedBar,Cars
Show me a bar chart showing the average profitability for orders by shipping mode and segment.,n,groupedBar,Superstore
Column Chart of Avg (Profit) by Segment vs each Ship Mode,n,groupedBar,Superstore
"Clustered Column chart, Average of Profit by segment, small multiples on ship mode",n,groupedBar,Superstore
average profit by ship mode type and segment,n,groupedBar,Superstore
Avg(Poduction Budget) Grouped by Content Rating and sub-grouped by Creative Type,n,groupedBar,Movies
Make vertical bar charts of the average of the Production Budget categorized by Creative Type and parameterized by Content Rating across the page. | Put an alphabetized legend for Creative type on the right side of the page. Do not use an x-axis or category axis but use the same axis for each chart. Use only major average of Production Budget gridlines.,y,groupedBar,Movies
"Please show me the average accelerations of cars in multiple bar charts aggregated by the number of cylinders. In each bar chart, different bars represent different origins.",n,groupedBar,Cars
create a series of bar chats for different ship modes that represent average of profit for different segments,n,groupedBar,Superstore
"average acceleration by origin, with small multiples by cylinders",n,groupedBar,Cars
"bars of avg acceleration, colored by origin, with small multiples by cylinders",n,groupedBar,Cars
"Show me the average production budget for each movie type, broken down by content rating.",n,groupedBar,Movies
What creative type of movie had the highest production budget for each content rating?,n,groupedBar,Movies
Compare car cylinder count against acceleration across countries,n,groupedBar,Cars
What is the average profit of each ship mode divided by segment?,n,groupedBar,Superstore
Create one bar chart for each ship mode showing average profit by segment,n,groupedBar,Superstore
"Create Bar chart | X axis is Ship Mode | Y axis is AVG(Profit) | Separate by First Class, Same Day, Second Class, Standard Class | Color by Segment",y,groupedBar,Superstore
For each country show the relationship between average acceleration and number of cylinders,n,groupedBar,Cars
Graph to show the acceleration for cars from different countries segregated based on number of cylinders,n,groupedBar,Cars
"select profit, class from table group by segment",n,groupedBar,Superstore
Visualize average accelaration based on number of cyclinders a model has summed across different origins,n,groupedBar,Cars
"Mean acceleration group by Cylinders and Origin, X axis Origin, Color Origin, Each plot Cylinders",n,groupedBar,Cars
"Average production budget by Creative Type, with separate graphs by Content Rating",n,groupedBar,Movies
"plot separately cylinders by average acceleration', 'color by origin",n,groupedBar,Cars
"by ship mode, draw a bar chart of average profit by split by segment",n,groupedBar,Superstore
show acceleration by cylinders by origin,n,groupedBar,Cars
how acceleration varies with number of cylinders by origin,n,groupedBar,Cars
"For each cylinders, average acceleration per origin",n,groupedBar,Cars
"For each cylinders, average acceleration Color by origin",n,groupedBar,Cars
show me bar charts of average production budget by creative types grouped by content rating,n,groupedBar,Movies
"What's the average production budget of the different rated movies, separated by creative type.",n,groupedBar,Movies
"Groupby(Ship Mode) | For each ship mode, groupby (segment) | For each (ship mode, segment), get average of profits",y,groupedBar,Superstore
"For each ship mode, plot a bar graph where each bar indicates the average profit of each segment",n,groupedBar,Superstore
show me average acceleration based on cylinders and country of origin,n,groupedBar,Cars
what's the breakdown of production budget by creative type per content rating?,n,groupedBar,Movies
"Show average horse power across cylinders, each country shown separately",n,groupedBar,Cars
"Plot the average of Acceleration, grouped by Cylinders, colored by Origin",n,groupedBar,Cars
What is our profit based on shipping mode by customer segment?,n,groupedBar,Superstore
"What was the average budget for each content rating and creative type, as multiple column charts",n,groupedBar,Movies
"For each content rating, show a column chart of average production budget by creative type",n,groupedBar,Movies
What is the average profit of different segments on the ship modes of transport,n,groupedBar,Superstore
"Group by Origin | Faceting on Cylinder, plot Cylinder by AVG Acceleration",y,groupedBar,Cars
"bar chart for each rating, showing avg production budget per creative type",n,groupedBar,Movies
Display column graph of average production budget by creative type broken down by content rating,n,groupedBar,Movies
Split Ship Mode by category and segement and Avg(Profit) render barchart,n,groupedBar,Superstore
Avg(Profit) Split by Ship Mode by category and segement,n,groupedBar,Superstore
"show average acceleration by country of origin, with separate charts for # of cylinders",n,groupedBar,Cars
Show Cylinders and AVG(Acceleration) in bar chart | Add Cylinders to groups | Add Origin to legend,y,groupedBar,Cars
"i want to see the average production budget of each creative type in a column chart, and grouped together by content rating",n,groupedBar,Movies
Show me Average Acceleration grouped by cylinders and broken out by Origin,n,groupedBar,Cars
budget vs content rating regarding different creative types,n,groupedBar,Movies
create a bar chart of average acceleration grouped by origin | split splots by cylinders,y,groupedBar,Cars
"show me a series of bar charts of average profit, split by segment, one chart per ship mode",n,groupedBar,Superstore
show me one bar chart of average profit split by segment for each ship mode,n,groupedBar,Superstore
average production budget by creative type and content rating,n,groupedBar,Movies
average production budget with creative type as legend and trellised by content rating,n,groupedBar,Movies
The average profit of orders by segment for each ship mode | Grouped colored bar charts,y,groupedBar,Superstore
"Production budget for each creative type, by content rating",n,groupedBar,Movies
Compare AVG (Acceleration) with Cylinders. | Segregate the cylinders by their origin.,y,groupedBar,Cars
Bar chart of average acceleration for cars with each number of cylinders in each place of origin. Color by origin. Separate into multiple charts by number of cylinders.,n,groupedBar,Cars
Average Production Budget by Creative Type filtered by Content Rating,n,groupedBar,Movies
Average Production Budget by Creative Type separated by Content Rating,n,groupedBar,Movies
Average Acceleration by Engine Cylinders and Origin,n,groupedBar,Cars
show me average production budget of each creative type across content ratings.,n,groupedBar,Movies
show me small multiples of average production budget for each creative type across different ratings,n,groupedBar,Movies
"show me how each rating, broken down by creative type, affects the average production budget",n,groupedBar,Movies
Show average profit by ship mode broken out by each segment,n,groupedBar,Superstore
Ship Mode Bar Chart AVG(Profit) by Segment),n,groupedBar,Superstore
How does the acceleration of cars from different countries vary by the number of cylinders?,n,groupedBar,Cars
Average acceleration by cylidners and country of origin in separate panels,n,groupedBar,Cars
draw bars | show me running time,y,histogram,Movies
histogram of running time,n,histogram,Movies
How many heavy cars are in the dataset? ,n,histogram,Cars
give me the number of movies by running time,n,histogram,Movies
Columns of Count vs Order Quantity,n,histogram,Superstore
"Frequency chart, order quantity",n,histogram,Superstore
count of orders by order quantity,n,histogram,Superstore
histogram of Running Time,n,histogram,Movies
Make a simple bar chart of count of Titles versus the Running Time. | Extend axes to labels and use only Count or lateral gridlines.,y,histogram,Movies
show me the categorization of weights,n,histogram,Cars
Show the number of films categorized by their running times.,n,histogram,Movies
Please show me the distribution of weights by 500 interval.,n,histogram,Cars
Please show me a histogram of weights with 500 intervals.,n,histogram,Cars
"histogram of weight, bin size 500",n,histogram,Cars
"histogram of weight, number of bins 8",n,histogram,Cars
Plot a histogram of movie running time.,n,histogram,Movies
What is the distribution of running times for each movie?,n,histogram,Movies
Show distribution of cars by weight,n,histogram,Cars
Histogram of cars by weight,n,histogram,Cars
How many orders were placed for each order quantity?,n,histogram,Superstore
Create a bar chart showing order quantity vs. count,n,histogram,Superstore
Create Bar Chart | X-axis is Order Quanitity | Y-Axis is COUNT,y,histogram,Superstore
Show me the count of each order quantity,n,histogram,Superstore
Show a bar chart showing weight distribution of cars,n,histogram,Cars
Bar graph to show weight on X Axis and count of cars on Y Axis,n,histogram,Cars
show me the order count grouped by quantity,n,histogram,Superstore
Visualize the distribution of models by weight into 8 buckets,n,histogram,Cars
"Histogram of weight, bin width of 500, min x axis 1500, max x axis 5500",n,histogram,Cars
"Histogram of running time, in 20 minute bands",n,histogram,Movies
plot weight histogram,n,histogram,Cars
"draw a histogram showing the count by order quantity, with a 2 order bin size",n,histogram,Superstore
show weight by count,n,histogram,Cars
Movie run time distribution,n,histogram,Movies
Histogram by weight | Count of binned weight,y,histogram,Cars
Show a count of movies binned by running time in 20-minute increments.,n,histogram,Movies
show a histogram for order quantity,n,histogram,Superstore
Show me count of movie runtimes ,n,histogram,Movies
Sum weight in a bar chart,n,histogram,Cars
How many products have 3 or more quantity ordered ?,n,histogram,Superstore
How many products are ordered in single quantity ?,n,histogram,Superstore
Show distribution of weight,n,histogram,Cars
Show histogram of weight,n,histogram,Cars
I want to know how many orders there are by the quantity of the order,n,histogram,Superstore
Plot Count of cars vs Weight,n,histogram,Cars
average length of movies,n,histogram,Movies
Product Single Order Quantity Trend,n,histogram,Superstore
count by weight,n,histogram,Cars
Give me a histogram of the number of movies by running time,n,histogram,Movies
How many movies are of each length?,n,histogram,Movies
Count the movies by how long they are,n,histogram,Movies
Show a histogram of the number of movies by how long they are,n,histogram,Movies
Count movies by how long they are to the nearest 20 minutes,n,histogram,Movies
Count movies by length in 20 minute buckets,n,histogram,Movies
plot a histogram of the total count of orders,n,histogram,Superstore
Plot a histogram of Weight with a bin width of 500,n,histogram,Cars
histogram of running time,n,histogram,Movies
Show me a boring bar chart of movie running time and count,n,histogram,Movies
Give me a histogram of running time for movies,n,histogram,Movies
The distribution of the order quantity | Histogram,y,histogram,Superstore
Create histogram of running time,n,histogram,Movies
Count Order Quantity asc render best,n,histogram,Superstore
Count Order Quantity asc order render best,n,histogram,Superstore
Histogram of number of cars by weight,n,histogram,Cars
breakdown of movies by running time,n,histogram,Movies
show me the count of movies by running time buckets,n,histogram,Movies
Show weight in a histogram ,n,histogram,Cars
"Show me a histogram of weight, rounded to 500",n,histogram,Cars
What is the distribution of weight across all cars?,n,histogram,Cars
How much do various cars weigh?,n,histogram,Cars
What is the range of weights for all cars?,n,histogram,Cars
create a histogram of model count by weight,n,histogram,Cars
show me a bar chart of count by order quantity,n,histogram,Superstore
count of movies by binned running time,n,histogram,Movies
"""what's the distribution of running times by movie",n,histogram,Movies
how many movies are there in 20 minute bins of running time,n,histogram,Movies
Show me the variation in the amount ordered by different entities in different orders,n,histogram,Superstore
running time distribution,n,histogram,Movies
"running time distribution, buckets of 20 minutes for running time",n,histogram,Movies
running time in 20 minute buckets,n,histogram,Movies
show me the distribution of car weight,n,histogram,Cars
Bar chart of weight,n,histogram,Cars
Total Count based on Running Time,n,histogram,Movies
Count by Weight Buckets,n,histogram,Cars
show me a histogram of movie length,n,histogram,Movies
show a relationship using a bar chart to show the relationship between items order and the count of those items,n,histogram,Superstore
Bar Chart Count by Order Quantity,n,histogram,Superstore
chart number of vehicles by weight in buckets of 500,n,histogram,Cars
Distribution of car weight,n,histogram,Cars
Histogram of car weight,n,histogram,Cars
what's the production budget for movies in different years?,n,line,Movies
Show me total sales by month for the two-year period between Jan 2016 and Dec 2017.,n,line,Superstore
Line Graph of SUM (Sales Forecast) vs Order Date,n,line,Superstore
"Line chart, Sum of Sales Forecast by Order Date",n,line,Superstore
total sales forecast by order date in 2016-2017,n,line,Superstore
total sales forecast by order date where year in 2016 or 2017,n,line,Superstore
Average Production Budget by Year,n,line,Movies
"make a simple line chart of the average of the Production Budget as a function of  Release Year.  | use no symbols, use a 1 pt line, and use gridlines for both average and release year.",y,line,Movies
Show me weight over year,n,line,Cars
Show the trend in average production budgets from 1995 to 2010.,n,line,Movies
Please show me how the average weights change in a timeline.,n,line,Cars
average weight over year,n,line,Cars
average weight over time,n,line,Cars
line chart of average weight over year,n,line,Cars
line chart of average weight over time,n,line,Cars
Plot the average production budget each year across all movies.,n,line,Movies
What is the relationship between release year and average production budget?,n,line,Movies
Weight of cars grouped by year,n,line,Cars
What is the sales forecast for each date?,n,line,Superstore
Create a line chart showing total sales forecast over time,n,line,Superstore
Create line graph | Axes are Order Date and SUM(Sales Forecast),y,line,Superstore
Show me the sales forecast for each order date,n,line,Superstore
What is the average weight distribution of cars between 1974 and 1980,n,line,Cars
Line chart to show average weight of cars based on the year in which they were produced,n,line,Cars
Visualize the general trend of car model weights over the years,n,line,Cars
Line graph of average Production Budget across Release Year,n,line,Movies
plot year by average weight,n,line,Cars
draw a line chart of daily sales forecasts,n,line,Superstore
show weight by year,n,line,Cars
how weight varies each year,n,line,Cars
Have cars gotten lighter over time?,n,line,Cars
Average weight over year,n,line,Cars
Line chart average weight over year,n,line,Cars
plot average production budget over release year,n,line,Movies
show me average production budget over release year,n,line,Movies
How production budge changes over release years?,n,line,Movies
What was the average production budget of movies by year?,n,line,Movies
I want to see trend of production budget by the release year,n,line,Movies
show the total number of sales forecast over time,n,line,Superstore
show me the average weight in a line chart,n,line,Cars
sales forecast between Jan 2016 and July 2017,n,line,Superstore
budget over time,n,line,Movies
plot average weight across time,n,line,Cars
show time series plot of average weight,n,line,Cars
production budget across years,n,line,Movies
Show me our forecasted number of sales between Jan 2016 and December 2017,n,line,Superstore
Draw the axes for the average of Weight vs Year,n,line,Cars
Draw the axes for AVG(Weight) vs Year,n,line,Cars
Product Sales Revenue by Month,n,line,Superstore
average weight by year ,n,line,Cars
Average budget by year,n,line,Movies
What is the average production budget in each year,n,line,Movies
Give me a line chart of average budget by year,n,line,Movies
Show the trend in the total sales from january to october 2017,n,line,Superstore
Plot Year by AVG Weight,n,line,Cars
line chart of AVG production budget of each release year,n,line,Movies
Display production budget by release date,n,line,Movies
"Groupby (Order Date) | For each Order Date, calculate sum of the sales forecast",y,line,Superstore
"Draw a line graph that connects all (order date, sum of sales forecast) pairs",n,line,Superstore
Sum(Sales Forecast) by Order Date asc render line,n,line,Superstore
Sum(Sales Forecast) by Order Date asc render best,n,line,Superstore
what is the average weight of cars over time,n,line,Cars
show me the average production budget by release year in a line chart,n,line,Movies
show year and avg(Weight) in a line chart,n,line,Cars
Show me average weight trended over ascending years,n,line,Cars
create a line graph of average weight by year,n,line,Cars
Show me the total sales forecast by order date,n,line,Superstore
Show me the cumulative sales by order date,n,line,Superstore
average production budget over time,n,line,Movies
average production budget by year,n,line,Movies
avg production budget over time,n,line,Movies
line chart sum of sales forecast vs. order date all orders,n,line,Superstore
"average production budget by year, 1995 to 2009",n,line,Movies
How does AVG (Weight) evolve over the years?,n,line,Cars
Line graph of year vs. average weight,n,line,Cars
Yearly average Production Budget,n,line,Movies
Avg weight by Year,n,line,Cars
line chart sum of sales forecast by order date,n,line,Superstore
show me a line plot of average movie production budget over time for all movies,n,line,Movies
show me small multiple scatter plots of movie production budget vs gross worldwide where each multiple is a specific rating,n,line,Movies
Show a line chart  the semi-annual sales forecast,n,line,Superstore
Linegraph SUM(Sales Forecast) by Order Date,n,line,Superstore
chart average weight over time,n,line,Cars
What is the average weight of cars by model year?,n,line,Cars
How has the average weight of cars changed over the years?,n,line,Cars
give me line charts of worldwide gross over year by major genres,n,multiLine,Movies
Line chart avg horsepower per year Color by origin,n,multiLine,Cars
plot worldwide gross over release year split by genre,n,multiLine,Movies
Multi-line Graph of Sum (Sales) by Category vs Order Date ,n,multiLine,Superstore
"Line chart, Sum of sales by order date, on category",n,multiLine,Superstore
"total sales by order date and category where category is furniture, office supplies, technology",n,multiLine,Superstore
time series: Sum(Worldwide Gross) by Release Year | group and color code by Major Genre,y,multiLine,Movies
plot a simple line chart that Sums the Worldwide Gross of major films versus release year parameterized by Major Genre. | Do not use symbols and show only major gridlines. Extend the axis to the labels. ,y,multiLine,Movies
Show how genres have been associated with worldwide grosses from 1995 to 2009.,n,multiLine,Movies
How do the horsepowers of the cars from different regions change with years?,n,multiLine,Cars
"average horsepower over years, colored by origin",n,multiLine,Cars
"average horsepower over time, colored by origin",n,multiLine,Cars
Plot the total worldwide gross over time for each major genre.,n,multiLine,Movies
What is the total worldwide gross for each major genre across time?,n,multiLine,Movies
What were the total sales for each date in each category?,n,multiLine,Superstore
How much was sold each day for each category?,n,multiLine,Superstore
"Create a line chart showing order date and sum of sales, divided by category",n,multiLine,Superstore
Create line graph | Axes are Order Date and SUM(Sales) | Color by category,y,multiLine,Superstore
"Show me the sales of furniture, office supplies, and technology over time",n,multiLine,Superstore
Through a visualization show average horsepower of cars for each country from 1997 to 2011,n,multiLine,Cars
"Line chart showing Year on X Axis and Average Horsepower on Y Axis', 'Different lines for different Origin",n,multiLine,Cars
Trend for average horsepower over time across different origin,n,multiLine,Cars
"Line graph of total Worldwide Gross by Major Genre, across Release Year",n,multiLine,Movies
plot year by average horsepower | color by origin,y,multiLine,Cars
"draw a line chart of monthly sales by order date, with a different colored line for each category",n,multiLine,Superstore
show how horsepower varies each year by origin,n,multiLine,Cars
How has horsepower changed over time by country? ,n,multiLine,Cars
Show worldwide gross timeline by movie genre,n,multiLine,Movies
Show a time series plot by year of the worldwide gross sum of movies by genre.,n,multiLine,Movies
"show the total sales over time as line chart for the categories furniture, office supplies, and technology",n,multiLine,Superstore
what is the sales trend of the different product categories?,n,multiLine,Superstore
Plot average horsepower across time by countries,n,multiLine,Cars
"For each country, show time series of average horse power",n,multiLine,Cars
"Draw axes for the average of Horsepower vs Year, colored by Origin",n,multiLine,Cars
"Draw axes for AVG(Horsepower) vs Year, colored by Origin",n,multiLine,Cars
Total gross by year and genre,n,multiLine,Movies
Total gross by genre and year,n,multiLine,Movies
Gross by genre and year,n,multiLine,Movies
"Gross, year and genre as a line chart",n,multiLine,Movies
show the trend in sales of all categories,n,multiLine,Superstore
Show the total gross across genres over time,n,multiLine,Movies
Group by Origin | plot Year by AVG Horsepower,y,multiLine,Cars
"line chart of total worldwide gross over each release year, line for each genre",n,multiLine,Movies
Sum(Sales)  by Order Date split by Category render line ,n,multiLine,Superstore
Sum(Sales)  by Order Date split by Category render line asc,n,multiLine,Superstore
"Show average horsepower over time, separated by country of origin",n,multiLine,Cars
gross per genre over time,n,multiLine,Movies
Show year and AVG(Horsepower) in line chart | Add origin to legend,y,multiLine,Cars
Show me the total worldwide gross over time by release year for the major genres,n,multiLine,Movies
"Show me the Average Horespower per origin, trended by ascending years",n,multiLine,Cars
release year vs worldwide gross in genres,n,multiLine,Movies
create a line graph of average horsepower by year grouped by origin,n,multiLine,Cars
"Show me the total sales by order date, one line for each category",n,multiLine,Superstore
Show me the total sales by order date split by category,n,multiLine,Superstore
"Show me the total sales over time for these categories: furniture, office supplies, and technology",n,multiLine,Superstore
ww gross over time by genre,n,multiLine,Movies
total worldwide gross by release year and major genre,n,multiLine,Movies
Create timeline of worldwide gross by release year displayed by major genre,n,multiLine,Movies
"line chart of sales vs. order date of furniture, office supplies, technology. Distnighish by color",n,multiLine,Superstore
line graph of worldwide gross for each genre for each year starting in 1995 to present,n,multiLine,Movies
worldwide gross for each genre for each year 1995 to now,n,multiLine,Movies
How has AVG (Horsepower) evolved over time? | Segregate it by the car origin.,y,multiLine,Cars
Line graph of year versus average horsepower by origin,n,multiLine,Cars
Worldwide Gross through time for each Major Genre,n,multiLine,Movies
Yearly Worldwide Gross for each Major Genre,n,multiLine,Movies
Average Horsepower per year and origin,n,multiLine,Cars
line chart sum of sales by order date categorized by category,n,multiLine,Superstore
show me how total gross revenue of all movies changes over a year for each genre,n,multiLine,Movies
show me a line plot of sum of gross revenue for each genre over time,n,multiLine,Movies
show me how gross revenue of genres changes over time,n,multiLine,Movies
show a line chart of semi sales by category,n,multiLine,Superstore
Category Line Graph Sum(Sales) by Order date,n,multiLine,Superstore
How has horsepower changed over time in each region?,n,multiLine,Cars
Relationship between IMDB Rating and Rotten Tomatoes Rating,n,scatter,Movies
Is there a correlation between acceleration and horsepower? ,n,scatter,Cars
show me imdb rating versus rotten tomatoes rating,n,scatter,Movies
give me a scatterplot of imdb rating as x axis and rotten tomatoes rating as y axis,n,scatter,Movies
show me a scatterplot | show me rating | show me rotten tomatoes rating,y,scatter,Movies
Acceleration by horsepower scatterplot,n,scatter,Cars
Acceleration by horsepower points,n,scatter,Cars
Plot IMDB rating against Rotten Tomatoes rating.,n,scatter,Movies
Scatter Plot of Sales vs Profit,n,scatter,Superstore
"Scatter plot, sales by profit",n,scatter,Superstore
plot profit amount by sales amount,n,scatter,Superstore
scatter IMDB Rating vs Rotten Tomatoes Rating,n,scatter,Movies
Make a simple scatter plot of Rotten Tomatoes Rating versus IMDB Rating.   | Use only major gridlines.,y,scatter,Movies
show me horsepower vs acceleration,n,scatter,Cars
Show how films' Rotten Tomato ratings compare with IMDB ratings.,n,scatter,Movies
what is the correlation between horsepower and acceleration?,n,scatter,Cars
"""Is there a correlation between cars' horsepower and acceleration?",n,scatter,Cars
Create a scatterplot of profit in columns and Sales in rows,n,scatter,Superstore
Create a scatterplot of profit in abscissa  and sales in ordinate ,n,scatter,Superstore
how does horsepower relate to acceleration for individual car models,n,scatter,Cars
"scatterplot of horsepower by acceleration, separated by individual models",n,scatter,Cars
Plot rotten tomatoes rating v.s. IMDB rating on a scatter plot.,n,scatter,Movies
