Utterance Set,is_set,visId,dataset
Is there a relationship between IMDB rating and rotten tomatoes rating?,n,scatter,Movies
Does higher horsepower mean lower acceleration?,n,scatter,Cars
What is the relationship between profit and sales?,n,scatter,Superstore
Create a scatter plot showing profit vs. sales,n,scatter,Superstore
Create Scatterplot | X-axis is Profit | Y-axis is Sales,y,scatter,Superstore
Show me the profit versus sales,n,scatter,Superstore
Show the scatter plot between horse power and acceleration,n,scatter,Cars
What is the relation between horsepower and acceleration,n,scatter,Cars
Scatter plot to show horsepower on X axis and Acceleration on Y Axis,n,scatter,Cars
plot the distribution of acceleration v/s horsepower ,n,scatter,Cars
"Scatter plot, x axis horsepower, y axis acceleration",n,scatter,Cars
Scatterplot of Rotten Tomatoes Rating by IMDB Rating,n,scatter,Movies
plot horsepower by acceleration,n,scatter,Cars
"make a scatterplot of profit vs sales, with profit on x-axis",n,scatter,Superstore
how is acceleration related to horsepower,n,scatter,Cars
acceleration to horsepower,n,scatter,Cars
show scatter plot of accelration and horse power,n,scatter,Cars
"plot the (profit, sales) pairs.",n,scatter,Superstore
plot IMDB rating against rotten tomatoes rating,n,scatter,Movies
show sales and profit as a scatter plot,n,scatter,Superstore
Are IMDb rating and rotten tomatoes rating related,n,scatter,Movies
should me acceleration compared to horsepower in a scatter chart,n,scatter,Cars
Scatter plot of horsepower across acceleration,n,scatter,Cars
Rating of movies in IMBD and Rotten Tomatoes,n,scatter,Movies
Plot acceleration vs Horsepower,n,scatter,Cars
Show me profits by number of sales per product,n,scatter,Superstore
Profit vs. Sales Cluster,n,scatter,Superstore
horsepower by acceleration ,n,scatter,Cars
how does Rotten Tomatoes Rating change as IMDB Rating?,n,scatter,Movies
Compare imdb rating to rotten tomatoes rating,n,scatter,Movies
Show a scatter plot of imdb rating vs rotten tomatoes rating,n,scatter,Movies
Give me a scatter plot showing a comparison of ratings between imdb and rotten tomatoes,n,scatter,Movies
how much is the profit for sales for each,n,scatter,Superstore
scatter plot of IMDB rating vs Rotten tomatoes rating,n,scatter,Movies
Plot IMBD vs Rotten Tomatoes ratings for all movies,n,scatter,Movies
Help me see outliers in IMDB and Rotten Tomatoes ratings,n,scatter,Movies
Sum(Profit) and Sum(Sales) render cluster,n,scatter,Superstore
Sum(Profit) 1and Sum(Sales) 2 render cluster,n,scatter,Superstore
Sum(Profit) x and Sum(Sales) y render cluster,n,scatter,Superstore
each car's acceleation by horsepower,n,scatter,Cars
IMDB rating by rotten tomatoes rating,n,scatter,Movies
Show me a scatterplot of movies by imdb rating and rotten tomatoes rating,n,scatter,Movies
Show Horsepower by Acceleration in a XYplot,n,scatter,Cars
Show Me Acceleration vs. Horespower For each Model,n,scatter,Cars
acceleration vs horsepower,n,scatter,Cars
create a scatterplot of acceleration vs horsepower by model,n,scatter,Cars
Show me a scatter chart of sales by profit,n,scatter,Superstore
scatter of imdb rating by rotting tomatoes rating,n,scatter,Movies
imdb rating vs rotten tomatoes rating by movie,n,scatter,Movies
Create scatter graph of IMDB rating by Rotten Tomatoes Rating ,n,scatter,Movies
The distribution of profit and sales | Scatter plot,y,scatter,Superstore
Scatterplot of sales vs. profit,n,scatter,Superstore
relation between rotten tomatoes rating and IMDB rating,n,scatter,Movies
relation between rotten tomatoes and IMDB ratings,n,scatter,Movies
scatter plot showing rotten tomatoes and IMDB ratings,n,scatter,Movies
Correlate Acceleration and Horsepower.,n,scatter,Cars
Scatterplot of horsepower vs acceleration,n,scatter,Cars
Scatter Plot of Rotten Tomatoes rating by the IMDB rating.,n,scatter,Movies
Relationship of Rotten Tomatoes rating to IMDB rating.,n,scatter,Movies
Horsepower distribution by acceleration,n,scatter,Cars
scatter plot sales vs profit,n,scatter,Superstore
show me a scatterplot of rotten tomatoes ratings vs imdb ratings,n,scatter,Movies
Show correlation between sales and profit,n,scatter,Superstore
Scatterplot Sales by Profit,n,scatter,Superstore
scatterplot acceleration vs horsepower,n,scatter,Cars
A scatterplot of horsepower on X axis and Acceleration on Y axis,n,scatter,Cars
How does acceleration change with horsepower?,n,scatter,Cars
How does acceleration behave compared to horsepower?,n,scatter,Cars
Scatterplot mpg vs displacement color by origin,n,scatterColor,Cars
Movie gross and budge relationship based on genre,n,scatterColor,Movies
How does displacement relate to fuel economy for cars from Europe v. USA? ,n,scatterColor,Cars
scatterplot budget and worldwide gross colored by genre,n,scatterColor,Movies
Show me a scatterplot of profitability by sales for each region. ,n,scatterColor,Superstore
Scatter Plot of Profit by region vs Sales,n,scatterColor,Superstore
"Scatter Plot, Profit by Sales, on Region",n,scatterColor,Superstore
plot profit amount by sales amount and region,n,scatterColor,Superstore
Scatter Production Budget vs Worldwide Gross. Color Code Major Genre.,n,scatterColor,Movies
Make a simple scatter plot of worldwide Gross by Production Budget categorized by Major Genre.,n,scatterColor,Movies
Show how worldwide grosses are related to production budgets by genre.,n,scatterColor,Movies
What is the correlation between displacement and MPG of cars with different origins?,n,scatterColor,Cars
Creare a scatterplot of sales and profit that represent different regions ,n,scatterColor,Superstore
"how does displacement relate to mpg for individual models, partitioned by country",n,scatterColor,Cars
"plot displacement against mpg for individual models, colored by country",n,scatterColor,Cars
"Plot the worldwide gross versus production budget for individual movies, coloring each movie by its genre.",n,scatterColor,Movies
What is the relationship between production budget and worldwide gross for each major genre?,n,scatterColor,Movies
What is the relationship between sales and profit for each region?,n,scatterColor,Superstore
"Create a scatter plot showing sales vs. profit, with each point colored by region",n,scatterColor,Superstore
Create scatterplot | Axes are sales and profit | color by region,y,scatterColor,Superstore
Show me the sales versus profit of each region,n,scatterColor,Superstore
"for country in USA, JAPAN and EUROPE show MPG vs Displacement ",n,scatterColor,Cars
One scatter plot to show displacement on X Axis and MPG on Y Axis | Scatter points to be different for each change in value of field Origin,y,scatterColor,Cars
"select sales, profit from table group by(region)",n,scatterColor,Superstore
Visualize distribution of MPG v/s displacement across origin,n,scatterColor,Cars
"Scatter plot, x axis Displacement, Y axis MPG, Color by Origin",n,scatterColor,Cars
Scatterplot of Worldwide Gross by Production Budget with different colors by major genre,n,scatterColor,Movies
plot displacement by mpg | color by origin,y,scatterColor,Cars
draw a scatterplot of sales vs profit where sales is on the x-axis and points are colored by region,n,scatterColor,Superstore
show how MPG varies with displacement by different origin,n,scatterColor,Cars
visualize in scatter plot the Displacement and MPG by orgin,n,scatterColor,Cars
"give me wordwide gross versus production budget, colored by major genres",n,scatterColor,Movies
"scatter(displacement, MPG) | color by Origin",y,scatterColor,Cars
"show profit vs sales as scatter plot', 'use a different color for each region",n,scatterColor,Superstore
show me MPG by displacement and origin in scatter chart,n,scatterColor,Cars
Density of sales across regions and their profitability,n,scatterColor,Superstore
Show displacement and MPG in a XY chart | Add origin in legend,y,scatterColor,Cars
Plot MPG vs Displacement colored by Origin,n,scatterColor,Cars
budget vs gross income across movie genres,n,scatterColor,Movies
Visualize in one chart sales and profits by product by region,n,scatterColor,Superstore
Profit vs. Sales Cluster by Region,n,scatterColor,Superstore
Give me a scatter plot of budget vs gross broken down by movie but with genre as a legend,n,scatterColor,Movies
"For each movie, show its budget and gross on a scatter plot and include the genre",n,scatterColor,Movies
What is the sales vs profit ratio of all the zones,n,scatterColor,Superstore
"Coloring by Orign, Plot Displacement by MPG",n,scatterColor,Cars
"scatter plot of production budget vs worldwide gross, colored by genre",n,scatterColor,Movies
"For each data element, draw a circle at (its sales, profit) with the proper color by the region",n,scatterColor,Superstore
Chart scatter plot of production budget by worldwide growth coded by major genre,n,scatterColor,Movies
The distribution of profit and sales by regions | Colored scatter plot,y,scatterColor,Superstore
Sum(Sales) X Sum(Profit) Y by region render cluster,n,scatterColor,Superstore
Sum(Sales) 1 Sum(Profit) 2 by region render cluster,n,scatterColor,Superstore
"chart each model MPG by displacement, and idetnify coutnry of origin",n,scatterColor,Cars
prod budget by gross for movies per genre,n,scatterColor,Movies
"plot all titles on a scatter plot chart by production budget an worldwide gross, and color the dots by major genre",n,scatterColor,Movies
Show me MPG vs Displacement colored by Origin,n,scatterColor,Cars
Show me MPG vs Displacement distinguished by Origin,n,scatterColor,Cars
"create a scatterplot of mpg vs displacement by model, color marks by origin | set origin colors to: europe, blue, japan, orange, usa, red",y,scatterColor,Cars
production budget vs ww gross by movie and major genre,n,scatterColor,Movies
show the spread of production budget and worldwide gross for each movie with genre as a legend,n,scatterColor,Movies
"show me a scatter chart of profit by sales, color coded by region",n,scatterColor,Superstore
"show me a scatter chart of profit by sales, split by region",n,scatterColor,Superstore
Scatterplot profit vs sales with color indicating geographic region of the U.S.,n,scatterColor,Superstore
Relation between worldwide gross and production budget for each major genre,n,scatterColor,Movies
correlate MPG and Displacement of cars | color the points by the car's origin,y,scatterColor,Cars
Scatterplot of displacement vs mpg. Color by origin.,n,scatterColor,Cars
Scatter Plot of Worldwide Gross by Production Budget with Major Genre labels,n,scatterColor,Movies
Worldwide Gross relationship to Production budget and Major Genre,n,scatterColor,Movies
show me a scatterplot of worldwide gross margin vs production budget; color movies by their genre,n,scatterColor,Movies
Can you create a graph showing sales and profit by region?,n,scatterColor,Superstore
Scatterplot Region X=Sales Y=Profit ,n,scatterColor,Superstore
scatterplot MPG vs Displacement separated by country,n,scatterColor,Cars
Scatterplot of displacement by MPG colored by country,n,scatterColor,Cars
"how does MPG compare to displacement, broken out by region?",n,scatterColor,Cars
"For each region, how does a car's MPG vary with displacement?",n,scatterColor,Cars
give me scatterplots of worldwide gross versus production budget by different content ratings,n,scatterFaceted,Movies
Acceleration by weight scatterplot per origin,n,scatterFaceted,Cars
Acceleration by weight scatterplot facet by origin,n,scatterFaceted,Cars
"For each origin, acceleration by weight scatterplot",n,scatterFaceted,Cars
show me production budget against worldwide gross split by content rating,n,scatterFaceted,Movies
Scatter Plot for each region of Profit vs Sales,n,scatterFaceted,Superstore
"Scatter Plot, profit by sales, small multiples on region",n,scatterFaceted,Superstore
profit amount per sales amount by region,n,scatterFaceted,Superstore
Scatter Production Budget vs Worldwide Gross | Slice by Content Rating,y,scatterFaceted,Movies
plot profit versus sales with a separate plot for each region. Make the axes identical.,n,scatterFaceted,Superstore
Make simple scatter plots of the Worldwide Gross versus Production Budget. Parameterize by Content Rating.,n,scatterFaceted,Movies
show me how weight is related to acceleration per country,n,scatterFaceted,Cars
Show how worldwide gross is related to production budgets for each content rating.,n,scatterFaceted,Movies
Please show me multiple correlation charts of weights and accelerations of cars based on their origins.,n,scatterFaceted,Cars
Create a multiple scatterplot that represents sales and profit for different regions,n,scatterFaceted,Superstore
"how does weight relate to acceleration for car models, small multiples by origin",n,scatterFaceted,Cars
"scatterplot weight by acceleration for individual models, small multiples by origin",n,scatterFaceted,Cars
The profit of sales in each region,n,scatterFaceted,Superstore
"Plot the worldwide gross v.s. production budget on a scatter plot, broken down by content rating.",n,scatterFaceted,Movies
Is there a relationship between production budget and worldwide gross for each content rating?,n,scatterFaceted,Movies
Compare acceleration vs weight across different countries,n,scatterFaceted,Cars
What is the relationship between sales and profit for each region?,n,scatterFaceted,Superstore
Create one scatter plot for each region that shows the relationship between sales and profit,n,scatterFaceted,Superstore
create scatterplot | axes are sales and profit | separate by region // or // dual x axis region,y,scatterFaceted,Superstore
Show me the sales versus profit for each region | Divide the data into 4 graphs,y,scatterFaceted,Superstore
Give different scatter plots of acceleration vs weight for each country,n,scatterFaceted,Cars
"3 scatter plots, one each for every Europe, Japan, and USA, to show weight on X Axis and Acceleration on Y Axis",n,scatterFaceted,Cars
Visualize accelaration v/s weight across distribution across different origins,n,scatterFaceted,Cars
"Scatterplot, x axis weight, y axis acceleration, facet by origin",n,scatterFaceted,Cars
Worldwide Gross by Production Budget by Rating in Scatterplot format,n,scatterFaceted,Movies
plot weight vs acceleration by origin,n,scatterFaceted,Cars
"by region, draw a scatterplot of sales and profit, with sales on the x axis",n,scatterFaceted,Superstore
show acceleration of cars by weight for different orgin,n,scatterFaceted,Cars
show scatterplot of cars acceleration to weight by origin,n,scatterFaceted,Cars
Show me small multiples of acceleration by weight for each country.,n,scatterFaceted,Cars
Display budget by gross of movies broken down by content rating,n,scatterFaceted,Movies
Gross vs. production budget over different ratings ,n,scatterFaceted,Movies
show the profit vs sales as scatter plots | use one plot for each region,y,scatterFaceted,Superstore
Plot production budget against worldwide gross for the different rating categories of movies.,n,scatterFaceted,Movies
show me acceleration by weight and by country of origin,n,scatterFaceted,Cars
Profitable Sales across regions,n,scatterFaceted,Superstore
Plot wight across acceleration for each country separately,n,scatterFaceted,Cars
Show me by region sales and profits by product,n,scatterFaceted,Superstore
production budget vs worldwide gross regarding movie rating,n,scatterFaceted,Movies
"Plot Acceleration vs Weight, grouped by Origin",n,scatterFaceted,Cars
Profit vs. Sales Cluster by Region,n,scatterFaceted,Superstore
Europe acceleration by weight | japan | usa,y,scatterFaceted,Cars
Give me a scatter chart of production budget vs worldwide gross for each content rating,n,scatterFaceted,Movies
"For each content rating, compare budget vs gross in a scatter plot",n,scatterFaceted,Movies
What is the sales vs profit ratio of the four regions,n,scatterFaceted,Superstore
"Faceting on Origin, plot Weight by Acceleration",n,scatterFaceted,Cars
scatter plot of production budget vs worldwide gross for G rated movies | scatter plot of production budget vs worldwide gross for PG rated movies | scatter plot of production budget vs worldwide gross for PG-13 rated movies | scatter plot of production budget vs worldwide gross for R rated movies,y,scatterFaceted,Movies
"scatter(x=production budget,y=worldwide gross) for content rating",n,scatterFaceted,Movies
Chart scatter plot of worldwide gross by production budget broken down by content rating,n,scatterFaceted,Movies
"groupby (region) | for each region, draw a scatter plot where a dot is located at (its sales, profit)",y,scatterFaceted,Superstore
The distribution of profit and sales by regions | Scatter plots,y,scatterFaceted,Superstore
"Show me each car's acceleration by weight, and split out separate charts for each country",n,scatterFaceted,Cars
Show weight and acceleration in a XYplot | Add origin to groups,y,scatterFaceted,Cars
budget by worldwide gross per content rating,n,scatterFaceted,Movies
"Show me scatterplots of production budget and woldwide gross for each title, by content rating",n,scatterFaceted,Movies
Show me Acceleration vs. Weight broken out by Origin,n,scatterFaceted,Cars
"create scatter plot of weight vs acceleration by car model, group by origin",n,scatterFaceted,Cars
What is the correlation between sales and profit by region,n,scatterFaceted,Superstore
"Show me a series of scatter charts of profit by sales, one chart for each region",n,scatterFaceted,Superstore
Show me a scatter chart of profit by sales for each region,n,scatterFaceted,Superstore
"Show me a scatter chart of profit by sales, one chart for each region",n,scatterFaceted,Superstore
"production budget vs ww gross for each movie, trellised by content rating",n,scatterFaceted,Movies
"scatter charts for each content rating, showing production budget and ww gross for each movie ",n,scatterFaceted,Movies
Scatterplot matrix of different U.S. regions of profit vs. sales,n,scatterFaceted,Superstore
wordwide gross versus production budget for each content rating,n,scatterFaceted,Movies
Show a scatterplot of acceleration vs Weight | Facet it by Origin.,y,scatterFaceted,Cars
Scatterplot of weight vs. acceleration. Break into multiple scatterplots by origin,n,scatterFaceted,Cars
Worldwide Gross relationship to Production Budget filtered by Content Rating,n,scatterFaceted,Movies
Worldwide Gross relationship to Production Budget separated by Content Rating,n,scatterFaceted,Movies
Acceleration distribution by Weight and Origin,n,scatterFaceted,Cars
show me scatter plots of movie production budget vs gross worldwide revenue broken down by rating,n,scatterFaceted,Movies
show me small multiple scatter plots of movie production budget vs gross worldwide where each multiple is a specific rating,n,scatterFaceted,Movies
Region Scatterplot Profit by Sales,n,scatterFaceted,Superstore
scatterplot acceleration vs weight per country,n,scatterFaceted,Cars
How does acceleration vary by weight for cars from different regions?,n,scatterFaceted,Cars
Count by origin,n,singleAttrBar,Cars
histogram for creative type,n,singleAttrBar,Movies
Which countries have the most cars in this dataset?,n,singleAttrBar,Cars
show me bars | show me creative type,y,singleAttrBar,Movies
show me movies by creative types,n,singleAttrBar,Movies
Show me count of movies categorized by creative type,n,singleAttrBar,Movies
Descending Column Chart of Count vs Sub-category,n,singleAttrBar,Superstore
"Column chart, count by sub-category",n,singleAttrBar,Superstore
count by sub-category distinct item ,n,singleAttrBar,Superstore
count for each subcategory item,n,singleAttrBar,Superstore
total count for each subcategory item,n,singleAttrBar,Superstore
Make a simple bar chart of Count of Titles versus the category of Creative Type.,n,singleAttrBar,Movies
show me the number of cars per country,n,singleAttrBar,Cars
count the number of cars based on their origins.,n,singleAttrBar,Cars
number of models by origin,n,singleAttrBar,Cars
count of models by origin,n,singleAttrBar,Cars
bar chart of number of models by origin,n,singleAttrBar,Cars
bar chart of count of models by origin,n,singleAttrBar,Cars
vertical bar chart of count of models by origin,n,singleAttrBar,Cars
vertical bar chart of number of models by origin,n,singleAttrBar,Cars
"Compare the number of models in USA, Japan and Europe ?",n,singleAttrBar,Cars
How many movies are there are of each creative type?,n,singleAttrBar,Movies
Which creative type had the most movies?,n,singleAttrBar,Movies
Which creative type had the fewest movies?,n,singleAttrBar,Movies
How many cars do each country manufacture?,n,singleAttrBar,Cars
Histogram of car models by country,n,singleAttrBar,Cars
How many orders were placed for each sub-category?,n,singleAttrBar,Superstore
"Create a bar chart that shows count of each sub-category, sorted high to low by count",n,singleAttrBar,Superstore
create bar graph | axes are sub-category and count | order by descending,y,singleAttrBar,Superstore
Show me the count of each subcategory of product,n,singleAttrBar,Superstore
Show number of cars from each country,n,singleAttrBar,Cars
Bar graph to show number of cars from different Origins,n,singleAttrBar,Cars
Plot count of models by grouped by origin,n,singleAttrBar,Cars
"Bar chart, x axis origin, y axis count of rows",n,singleAttrBar,Cars
Count of movies by Creative Type,n,singleAttrBar,Movies
plot origin,n,singleAttrBar,Cars
draw a bar chart of count by sub-category,n,singleAttrBar,Superstore
Plot count of cars by origin,n,singleAttrBar,Cars
show number of cars produced by each country,n,singleAttrBar,Cars
count of cars by origin,n,singleAttrBar,Cars
Movie count based on creative type,n,singleAttrBar,Movies
Show a count of movies by creative type.,n,singleAttrBar,Movies
"show number of orders for the sub categories as bar chart, and sort the bars by count, highest first",n,singleAttrBar,Superstore
show me the count of cars by country of origin in bar chart,n,singleAttrBar,Cars
What product category has more orders placed?,n,singleAttrBar,Superstore
Distribution of product sub categories by ordered quantity,n,singleAttrBar,Superstore
Show model count by origin in a bar chart,n,singleAttrBar,Cars
show frequency by country,n,singleAttrBar,Cars
Show distribution by counties,n,singleAttrBar,Cars
Show me how many products were ordered by sub-category,n,singleAttrBar,Superstore
Plot Count vs Origin,n,singleAttrBar,Cars
Plot ROWCOUNT vs Origin,n,singleAttrBar,Cars
Plot Count(cars) vs Origin,n,singleAttrBar,Cars
count by origin,n,singleAttrBar,Cars
Count movies by creative type,n,singleAttrBar,Movies
Which creative types have the most movies?,n,singleAttrBar,Movies
Sort creative types by number of movies,n,singleAttrBar,Movies
Count of movies by creative type as a bar chart,n,singleAttrBar,Movies
arrange the sub categories as per order count,n,singleAttrBar,Superstore
bar chart of number of movies in each creative category,n,singleAttrBar,Movies
"Groupby (sub-category)  | For each sub-category, count the number of elements (== count)",y,singleAttrBar,Superstore
"For each sub-category, plot a bar of the count for the sub-category",n,singleAttrBar,Superstore
The count of orders by sub-category | Bar chart | Descending order,y,singleAttrBar,Superstore
Count Sub-Category Asc,n,singleAttrBar,Superstore
Count asc Sub-Category render best,n,singleAttrBar,Superstore
how many models are proudced by each country,n,singleAttrBar,Cars
Show me how many movies were made by creative type,n,singleAttrBar,Movies
Show me count of models by origin,n,singleAttrBar,Cars
counts of movies by creative type,n,singleAttrBar,Movies
create a histogram of the count of models by origin,n,singleAttrBar,Cars
"show me a bar chart of count by sub-category, sorted by count highest to lowest",n,singleAttrBar,Superstore
"show me a bar chart of count by sub-category, sorted by count descending",n,singleAttrBar,Superstore
"show me a bar chart of count by sub-category, descending sort by count",n,singleAttrBar,Superstore
"show me a bar chart of count by sub-category, highest count to lowest",n,singleAttrBar,Superstore
show me a highest to lowest bar chart of count by sub-category,n,singleAttrBar,Superstore
"show me a bar chart of count by sub-category, highest first",n,singleAttrBar,Superstore
how many movies are there for each creative type,n,singleAttrBar,Movies
which creative types had the most movies?,n,singleAttrBar,Movies
count of movies by creative type,n,singleAttrBar,Movies
Create column graph of all movies by creative type,n,singleAttrBar,Movies
Bart chart quantity vs. product type all orders,n,singleAttrBar,Superstore
how many films of each creative type,n,singleAttrBar,Movies
where do the cars originate from?,n,singleAttrBar,Cars
Bar chart of number of cars from each origin,n,singleAttrBar,Cars
Count by Creative Type,n,singleAttrBar,Movies
Count Rows by Origin,n,singleAttrBar,Cars
"show me a histogram of the count of each creative type, sorted in descending number of releases. ",n,singleAttrBar,Movies
"show me the number of each creative type move in a bar chart, order the bars in decreasing order. ",n,singleAttrBar,Movies
Bar Chart Count by Sub-Category,n,singleAttrBar,Superstore
chart count to country,n,singleAttrBar,Cars
Distribution of country,n,singleAttrBar,Cars
How many cars are from each region?,n,singleAttrBar,Cars
Cylinders count bar chart Color by origin,n,stackedBar,Cars
Are there any American 5 cylinder cars?,n,stackedBar,Cars
"Show the total worldwide gross by category of film, broken down by movie rating.",n,stackedBar,Movies
Show me a bar chart of the total profitability of each region with a breakdown based on shipping time.,n,stackedBar,Superstore
Stacked columns of Sum (profit) segmented by Ship Status vs Region,n,stackedBar,Superstore
"Stacked bar chart on ship status, Sum of profit by region",n,stackedBar,Superstore
total profit by region and ship status,n,stackedBar,Superstore
Sum(Worldwide Gross) grouped by Genre and sub grouped by Content Rating,n,stackedBar,Movies
Make a bar chart of the sum of Worldwide Gross as a function of the Major Genre.  | Split each bar by Content Rating. Put a legend of the Content Rating on the right. Alphabetize Content Rating.,y,stackedBar,Movies
Show how content ratings are associated with gross receipts by genre. ,n,stackedBar,Movies
The distribution of the number of cylinders of cars based on different origins.,n,stackedBar,Cars
Create a stacked bar chart that represents sum of profit in different regions stacked by ship status,n,stackedBar,Superstore
"stacked bar of count of models by cylinders, colored by origin",n,stackedBar,Cars
"stacked bar of number of models by cylinders, colored by origin",n,stackedBar,Cars
"vertical stacked bar of number of models by cylinders, colored by origin",n,stackedBar,Cars
Plot the total worldwide gross for each major genre using a stacked bar chart. Break down within each genre by content rating.,n,stackedBar,Movies
How many cylinders do cars manufactured in different countries have?,n,stackedBar,Cars
Group cars by countries and cylinders,n,stackedBar,Cars
"What is the total profit for each region, based on ship status?",n,stackedBar,Superstore
"Create a stacked bar chart showing region and profit, colored by ship status",n,stackedBar,Superstore
create stacked bar chart | axes are region and SUM(Profit) | color by ship status,y,stackedBar,Superstore
Show me a bar graph of the profit for each region | Make the bars stacked with the ship status,y,stackedBar,Superstore
Show the relationship between number of cars and cylinders in each country,n,stackedBar,Cars
Stacked bar chart to show number of cylinders on X Axis and count of cars  segregated country wise on Y Axis ,n,stackedBar,Cars
Visualize distribution of models by number of cyclinders grouped by origin,n,stackedBar,Cars
"Stacked bar chart, x axis cylinder, y axis count, color by Origin",n,stackedBar,Cars
"Bar chart of total worldwide gross by major genre, by content rating",n,stackedBar,Movies
plot cylinder histogram | stack by origin,y,stackedBar,Cars
"make a stacked bar chart summing profit across region, where profit is colored by ship status",n,stackedBar,Superstore
show cars produced by diiferent origin in various cylinders,n,stackedBar,Cars
stacked bar of genre and worldwide gross colored by content rating,n,stackedBar,Movies
give me a bar chart of worldwide gross sum by major genres stacked by content ratings,n,stackedBar,Movies
Stack bar chart of SUM(worldwide gross) vs. movie genre based on content rating,n,stackedBar,Movies
show me the origin country by cylinder count in a bar chart,n,stackedBar,Cars
Show distribution of cylinders by country,n,stackedBar,Cars
"Plot the Count of cars vs Cylinders, colored by Origin, stacked by Origin",n,stackedBar,Cars
By region show our profits based on the shipping status of the order,n,stackedBar,Superstore
count by cylinders and origin,n,stackedBar,Cars
What is the total worldwide gross earned by each major genre and content rating?,n,stackedBar,Movies
Total ww gross by genre and content rating,n,stackedBar,Movies
Give me a stacked column chart of worldwide gross by genre and rating,n,stackedBar,Movies
"For each genre and rating, what is the total world-wide gross earnings?",n,stackedBar,Movies
How much did each type of movie earn in across the whole world?,n,stackedBar,Movies
Global boxoffice by genre and mpaa rating,n,stackedBar,Movies
How much money did movies of each genre and rating make?,n,stackedBar,Movies
"Stacked bar chart of total worldwide gross for each genre, separated by rating",n,stackedBar,Movies
"Groupby (region) | For each region, groupby (ship status) | For each (region, ship status), calculate the sum of profit",y,stackedBar,Superstore
"For each (region, ship status), plot the sum of the profit into a stacked bar",n,stackedBar,Superstore
Create stacked column graph of worldwide gross by major genre by content rating,n,stackedBar,Movies
Split region by ship status and Sum(Profit) render Stacked barchart,n,stackedBar,Superstore
Split region by ship status and Sum(Profit) render best,n,stackedBar,Superstore
"total number fo models based on number of cylinders, with breakdown by country",n,stackedBar,Cars
Show me the total worldwide gross for all major genres in a stacked bar chart and color it out by content rating,n,stackedBar,Movies
"Show cylinders by COUNT(Model) in a bar chart', 'Add origin to legend",n,stackedBar,Cars
"Show me count of models grouped by cylinders, stacked by Origin",n,stackedBar,Cars
gross across genres regarding content rating,n,stackedBar,Movies
"create a stacked bar chart of the count of models by cylinder, group by origin",n,stackedBar,Cars
"Show me a bar chart of total profit by region, and stack the bars by ship status",n,stackedBar,Superstore
"Show me a stacked bar chart of total profit by region, stacked by ship status",n,stackedBar,Superstore
ww gross by major genre and content rating,n,stackedBar,Movies
total ww gross by genre and rating,n,stackedBar,Movies
Stacked bar chart of Profit disaggregated by shipping time across different regions,n,stackedBar,Superstore
"Stacked bar chart of gross for each content rating, by major genre",n,stackedBar,Movies
"Cumulative gross for each content rating, by major genre",n,stackedBar,Movies
show me a distribution of cylinders grouped by car origin,n,stackedBar,Cars
Bar chart of number of cylinders. Stack bar charts by origin,n,stackedBar,Cars
Total Worldwide Gross by Major Genre separated by Content Rating,n,stackedBar,Movies
Total Worldwide Gross by Major Genre with Content Rating labels,n,stackedBar,Movies
"Count by Cylinders and Origin, Stacked",n,stackedBar,Cars
Stacked Barchart Ship Status X=Region Y=SUM(Profit),n,stackedBar,Superstore
show a stacked bar chart of number of vehicles to number for cylinders grouped by country,n,stackedBar,Cars
Histogram with cylinders on X axis and bar colored by country,n,stackedBar,Cars
what is the breakdown of cars by the number of cylinders in each region?,n,stackedBar,Cars
How many cars have various numbers of cylinders in each region?,n,stackedBar,Cars